region_cd,district_name,buld_gbn,floor_gbn,research_date,ratio_1b,ratio_1f,ratio_2f,ratio_3f,ratio_4f,ratio_5f,ratio_6f,ratio_11f,level_no_out
4200117N117,원주혁신도시,3,1,202101,,100.0,47.31450438,40.0670007,42.1237223,41.80898558,42.60263867,,3
4500112N112,전북혁신도시,3,1,202101,,100.0,40.02793776,37.37897076,31.92313982,32.03302977,22.04332016,,3
4700000N471,경북김천혁신도시,3,1,202101,,100.0,63.5001565,62.76189306,62.03614394,37.51139975,,,3
4700000N472,경북도청신도시,3,1,202101,,100.0,41.17392901,39.82279289,31.79977646,30.99046843,27.44251915,,3
4800128N128,진주혁신도시,3,1,202101,,100.0,41.44859775,36.32291662,34.80631561,33.50803773,,,3
0114131N132,방배역/내방역,2,1,202201,34.682375853214324,100.0,55.181167615922114,49.87443295303998,49.15008750732049,51.43052818431519,78.66385622904144,,3
0114Y20N006,학동/강남구청역,2,1,202201,37.58436019547438,100.0,52.39654465289261,43.42160627653315,44.67501900990042,43.47478467149165,,,3
0199Y20N013,구의역,2,1,202201,24.30442462900052,100.0,38.32139544390542,34.10408243988291,37.92443690275916,36.88132666443001,,,3
0199Y20N014,상봉역,2,1,202201,31.2831580523556,100.0,47.57295063121719,41.280983548310864,31.85675504580028,39.91045135566434,72.52672251359624,,3
0200Y19N006,구서동/금정구청,2,1,202201,18.39818790526885,100.0,52.31959069738294,27.19874522876256,24.733734120209675,23.442960652430976,28.22409491415495,,3
0800Y20N028,신천역,2,1,202201,24.06715748241041,100.0,47.63715341546138,43.19086398254228,39.41728176687269,44.34631365291095,,,3
1200N74N075,송천동,2,1,202201,40.99979792460202,100.0,44.58642452616145,36.3391288724662,35.525696606505434,,,,3
1200N74N076,영등부송,2,1,202201,14.098805134793697,100.0,37.31594253523228,25.25090473081991,29.96977380105119,,,,3
0111000,도심,1,1,201901,28.42561363,100.0,48.73119344,39.10267074,36.97017818,35.09926008,33.84060916,,2
0111119,명동,1,2,201901,10.75355939,100.0,31.85015354,25.75437105,27.66819528,27.40651013,25.01289504,24.89697089,3
0111Y19N002,을지로,1,1,201901,,,,,,,,,3
0114000,강남,1,0,201901,33.10346953,100.0,63.93432253,50.53831132,49.35878631,48.56616736,49.99374017,55.69420258,2
0117000,여의도마포,1,2,201901,43.88089869,100.0,65.61730219,63.54988985,61.14032457,61.99479959,60.97432148,66.72360065,2
0199179,이태원,2,1,201901,36.72503328,100.0,48.26934322,40.88721052,41.9641499,33.17656072,59.66269524,,3
0199186,화곡,1,0,201901,29.49723995,100.0,41.38601861,46.41474511,42.62843553,44.86977213,38.87284248,,3
0199189,청량리,2,1,201901,16.40571048,100.0,38.68871175,30.63745263,25.47879403,24.48133356,24.03585987,,3
0199N23,서울대입구역,2,1,201901,21.99214648,100.0,39.50364891,32.51742638,30.51684988,28.26166912,25.86280121,,3
0200000,부산,1,0,201901,26.68864991,100.0,62.2464049,42.39962298,38.19659115,38.38488914,36.81487844,38.13948489,1
