제1종전용주거지역,제2종전용주거지역,제1종일반주거지역,제2종일반주거지역,제3종일반주거지역,준주거지역,중심상업지역,일반상업지역,근린상업지역,유통상업지역,전용공업지역,일반공업지역,준공업지역,보전녹지지역,생산녹지지역,자연녹지지역,보전관리지역,생산관리지역,계획관리지역,농림지역,자연환경보전지역,base_ym,region_nm
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,영주시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,영천시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,완도군
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,300퍼센트","1,000퍼센트",700퍼센트,"1,000퍼센트",200퍼센트,250퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,울산광역시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,원주시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,의성군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,의정부시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,이천시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,익산시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,인천광역시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,장성군
40퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,80퍼센트,60퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,전주시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,정읍시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,제천시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,천안시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,철원군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,청송군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,춘천시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,충주시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,칠곡군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,태백시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,태안군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,통영시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,파주시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,평택시
40퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,포천시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,포항시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,하남시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,홍천군
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,화성시
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,화순군
